번호,서명,저자,발행자,발행년,책수,단가,금액
1230,티컵하우스 . 5  쫑긋 가족을 소개합니다,헤일리 스콧 지음,웅진주니어,2021,1,"\12,000","12,000"
1231,티컵하우스 . 7  쫑긋 가족의 강아지 대소동,"헤일리 스콧, 피파 커닉 그림",웅진주니어,2021,1,"\12,000","12,000"
1232,티컵하우스 . 6  쫑긋 가족의 케이크 만들기,헤일리 스콧 지음,웅진주니어,2021,1,"\12,000","12,000"
1233,행복은 어디에나 있어  : 공을 물고 달리는 개의 행복,브루스 핸디 지음,주니어RHK,2022,2,"\15,000","30,000"
1234,(Go Go) 카카오프렌즈  : 세계 역사 문화 체험 학습만화 . 23  싱가포르,김미영 지음,아울북,2022,3,"\12,000","36,000"
1235,설민석의 한국사 대모험 . 20  고려의 발전 편,설민석,아이휴먼,2022,2,"\12,000","24,000"
1236,인문학 개념어 사전 . 1  논리·사상·철학,김승환 지음,소명출판,2022,1,"\45,000","45,000"
1237,인문학 개념어 사전 . 2  역사·사회·자연,김승환 지음,소명출판,2022,1,"\45,000","45,000"
1238,인문학 개념어 사전 . 3  문학·예술·미학,김승환 지음,소명출판,2022,1,"\45,000","45,000"
1239,(서울대 교양강의 '동서양 명작 읽기') 왜 읽는가,서영채 지음,나무나무,2021,1,"\29,000","29,000"
1240,"(집착, 스토킹, 폭행, 불륜의 또 다른 이름) 관계중독",박수경 지음,가연,2022,1,"\18,000","18,000"
1241,권력의 심리학,브라이언 클라스 지음,웅진지식하우스,2022,1,"\18,000","18,000"
1242,(마음은 삶을 어디까지 바꿀 수 있을까) 마음챙김,엘렌 랭어 지음,더퀘스트,2022,1,"\16,000","16,000"
1243,자기 객관화 수업  : 현실적응능력을 높이는 철학상담,모기룡 지음,행복우물,2022,1,"\14,500","14,500"
1244,내 어깨 위 죄책감,도리스 볼프 지음,생각위의집,2022,1,"\15,000","15,000"
1245,(살면서 꼭 한 번은) 논어,임성훈 지음,다른상상,2021,1,"\14,000","14,000"
1246,(살면서 꼭 한 번은) 명심보감,임성훈 지음,다른상상,2021,1,"\14,000","14,000"
1247,(살면서 꼭 한 번은) 채근담,임성훈 지음,다른상상,2021,1,"\14,000","14,000"
1248,나의 MBTI가 궁금하단 마리몽,김소나,더모던,2021,1,"\15,800","15,800"
1249,아버지의 죽음 앞에서  : 호스피스 의사가 아버지를 떠나보내며 깨달은 삶의 의미,레이첼 클라크 지음,메이븐,2021,1,"\16,800","16,800"
1250,(10대를 위한) 반야심경  : 내 마음의 좋은 습관 기르기,사이토 다카시 지음,불광출판사,2022,1,"\14,500","14,500"
1251,"은밀하게 위대하게  : 주기도, 신학과 인문학의 눈으로 탐구하기",정진호 지음,세움북스,2022,1,"\21,000","21,000"
1252,(세계적 명상스승 아잔 브람의 365일 행복 명상록) 하루 1분 마음챙김,아잔 브람 지음,느낌,2021,1,"\14,000","14,000"
1253,아바타라 안심이다,월호 지음,마음의숲,2022,1,"\15,000","15,000"
1254,행복한 무소유  : 법정스님 무소유에서 깨달은 행복과 자유,정찬주 지음,정민미디어,2021,1,"\15,000","15,000"
1255,나무신화  : 나무가 우리에게 건네는 이야기,도리스 라우데르트 지음,수류산방,2021,1,"\38,000","38,000"
1256,커리어 그리고 가정  : 평등을 향한 여성들의 기나긴 여정,클라우디아 골딘 지음,생각의힘,2021,1,"\22,000","22,000"
1257,(한 권으로 끝내는) 틴매경 TEST,매일경제 경제경영연구소 지음,매경주니어,2021,1,"\18,000","18,000"
1258,(사회 선생님이 들려주는) 공정무역 이야기  : 사회적 감수성을 키우는 시민교과서,전국사회교사모임 지음,살림Friends,2017,1,"\15,000","15,000"
1259,(엎치락뒤치락) 세계 경제 이야기,석혜원 지음,풀빛,2017,1,"\15,000","15,000"
1260,슈렉은 왜 못생겼을까?  : 세상을 바꾼 기업들의 별난 생각과 기업가정신,이완배 지음,꿈결,2018,1,"\13,800","13,800"
1261,(수업 시간에 들려주지 않는) 돈 이야기,윤석천 지음,지상의책,2020,1,"\14,500","14,500"
1262,(10대를 위한) 돈 공부,김명지 지음,굿웰스북스,2022,1,"\15,000","15,000"
1263,(경제학 미성년들을 위한 최소한의 경제 수업) 미니멀 경제학  : 세계 경제와 이슈 편,한진수 지음,중앙Books,2020,1,"\15,000","15,000"
1264,돈의 교실  : 10대를 위한 경제 이야기,다카이 히로아키 지음,웅진지식하우스,2019,1,"\15,000","15,000"
1265,(세상에서 가장 재미있는 경제 이야기) 경제는 내 친구,정광재,유아이북스,2021,1,"\15,000","15,000"
1266,"하버드 회복탄력성 수업  : 우울, 불안, 번아웃, 스트레스에 무너지지 않는 멘탈 관리 프로젝트",게일 가젤 지음,현대지성,2021,1,"\13,000","13,000"
1267,(부를 만드는) 경험의 힘,최영일 지음,스노우폭스,2022,1,"\16,500","16,500"
1268,(대한민국의 불평등을 통계로 보다) 불평등한 선진국,박재용 지음,북루덴스,2022,1,"\18,000","18,000"
1269,구글은 어떻게 디자인하는가  : 인클루시브 디자인 이야기,애니 장바티스트 지음,유엑스리뷰,2021,1,"\29,000","29,000"
1270,(스타트업 창업 노하우) 이걸 모르고 시작할 뻔했네,박혜경 [외] 지음,북샾일공칠,2022,1,"\15,000","15,000"
1271,"부자, 관상, 기술  : 부자들은 알고 있는 핀테크 시대의 행동경제학",김영한 지음,쌤앤파커스,2021,1,"\16,000","16,000"
1272,(공부가 쉬워지는) 청소년 문해력 특강,김송은 지음,더숲,2022,1,"\17,000","17,000"
1273,(앞으로 10년) 빅테크 수업  = BIGTECH LESSONS  : 미래를 바꿀 4가지 메가테크,조원경 지음,Page2,2022,1,"\17,000","17,000"
1274,(한 권으로 끝내는) 개인사업자 절세 공부,한지온 지음,길벗,2020,1,"\16,000","16,000"
1275,월급쟁이 재테크 상식 사전  = Common Sense Dictionary for Salaried,우용표 지음,길벗,2022,1,"\17,500","17,500"
1276,(현실과 가상이 공존하는 세계) 뉴 메타버스  : 이해와 투자 완전정복,진기엽,네온북,2021,1,"\17,000","17,000"
1277,돈이 되는 메타버스  : 전 세계 부의 질서를 뒤바꿀 머니 혁명,최원희,포레스트북스,2022,1,"\17,000","17,000"
1278,(커피 기본 이론부터 에스프레소머신 관리까지) 바리스타&카페 창업 안내서,김병희 [외] 지음,시대인,2021,1,"\23,000","23,000"
1279,나는 샤넬백 대신 피부에 투자한다,김솔지 지음,굿웰스북스,2021,1,"\15,000","15,000"
1280,"남자들의 방  : 남자-되기, 유흥업소, 아가씨노동",황유나 지음,오월의봄,2022,1,"\16,000","16,000"
1281,"성공한 나라 불안한 시민  : 대전환 시대, 한국 복지국가의 새판 짜기",이태수 [외] 지음,헤이북스,2022,1,"\23,000","23,000"
1282,달콤한 바나나의 씁쓸한 현실,이시이 마사코 편저,회화나무,2021,1,"\21,000","21,000"
1283,빛이 매혹이 될 때  : 빛의 물리학은 어떻게 예술과 우리의 세계를 확장시켰나,서민아 지음,인플루엔셜,2022,1,"\17,500","17,500"
1284,단 하나의 방정식,미치오 가쿠 지음,김영사,2021,1,"\17,800","17,800"
1285,(인류와 우주의 진화 코드) 무질서가 만든 질서,스튜어트 A.카우프만 지음,알에이치코리아,2021,1,"\16,500","16,500"
1286,판타 레이  : 혁명과 낭만의 유체 과학사,민태기 지음,사이언스북스,2021,1,"\30,000","30,000"
1287,"휴가갈 땐, 주기율표  : 일상과 주기율표의 찰떡 케미스트리",곽재식 지음,초사흘달,2021,1,"\18,000","18,000"
1288,누가 지구를 망치는가  : 1%가 기획한 환상에 대하여,반다나 시바,책과함께,2022,1,"\15,000","15,000"
1289,지구에서 가장 큰 발자국  : 80억 명의 인간이 1명의 거인이라면,롭 시어스 지음,비룡소,2022,1,"\18,000","18,000"
1290,셜록홈스의 과학수사,스튜어트 로스 지음,하이픈,2021,1,"\16,000","16,000"
1291,기후의 힘,박정재 지음,바다출판사,2021,1,"\18,000","18,000"
1292,(바닐라 클라우드) 디저트 디자인,박예나 지음,비앤씨월드,2021,1,"\38,000","38,000"
1293,"리페어 컬쳐  : 쓰고 버리는 시대, 잃어버린 것들을 회복하는 삶",볼프강 M. 헤클 지음,양철북,2016,1,"\15,000","15,000"
1294,커피로스팅 . 1,스콧 라오 지음,커피리브레,2015,1,"\25,000","25,000"
1295,커피로스팅 . 2,스콧 라오 지음,커피리브레,2020,1,"\35,000","35,000"
1296,"가구, 집을 갖추다  : 리빙 인문학, 나만의 작은 문명",김지수 지음,싱긋,2022,1,"\18,000","18,000"
1297,평범한 우리 아이 북미에서 영재되다,서아람 지음,바른북스,2021,1,"\16,000","16,000"
1298,미치광이 여행자,이언 해킹 지음,바다출판사,2021,1,"\17,800","17,800"
1299,(FORTUNE+INTERIOR) 운테리어  : 운이 좋아지는 집 인생이 달라지는 인테리어,박성준 지음,소미미디어,2021,1,"\16,300","16,300"
1300,"마이뜨리, 생에 한 번쯤은 요가  : 내가 어떤 사람인지 깊이 있게 들여다보는 시간",마이뜨리 지음,디이니셔티브,2021,1,"\14,800","14,800"
1301,(그림으로 읽는) 친절한 기후위기 이야기,인포비주얼 연구소 지음,북피움,2021,1,"\16,500","16,500"
1302,"알고 먹자, 유산균  : 장 건강을 다스리는 가장 빠른 길",양형규 지음,양병원,2021,1,"\14,900","14,900"
1303,치질 없는 몸으로 살기  : 40년 대장항문외과 전문의가 제안하는 치질 탈출 지침서,양형규 지음,양병원,2021,1,"\14,900","14,900"
1304,(먹어도 살이 찌지 않고 면역력이 생기는) 식사법,이시구로 세이지 지음,청홍(지상사),2021,1,"\14,800","14,800"
1305,(닥터딩요의) 백년 건강,김태균 지음,21세기북스,2021,1,"\18,000","18,000"
1306,플라워 컬러 가이드,테일러 퍼트남,아트앤아트피플,2021,1,"\38,000","38,000"
1307,디자인을 위한 컬러 사전  : 의미가 담긴 색채 선택의 기준,션 애덤스 지음,유엑스리뷰,2022,1,"\32,000","32,000"
1308,아메토라  : 일본은 어떻게 아메리칸 스타일을 구원했는가,W. 데이비드 막스 지음,워크룸프레스,2020,1,"\20,000","20,000"
1309,(천 개의 미술에서 천 가지 예술을 보다) 1000개의 그림 1000가지 공감,이경아 지음,아이템하우스,2022,1,"\22,000","22,000"
1310,배낭 속 예술 여행,진성 지음,린,2022,1,"\24,000","24,000"
1311,영원히 사울레이터,사울 레이터 지음,윌북,2022,1,"\22,000","22,000"
1312,(억대 연봉 글로벌 인재들의) 예의 바른 비즈니스 영어  : 말투 하나 바꿨을 뿐인데 능력을 인정받고 성과를 내기 시작했다,Hyogo Okada 지음,베이직북스,2021,1,"\16,000","16,000"
1313,비즈니스 베트남어회화&이메일 표현사전,윤선애 지음,길벗이지톡,2019,1,"\22,000","22,000"
1314,언어를 둘러싼 문제들  : 언어학·일본어론으로의 초대,마쓰모토 가쓰미 지음,박영사,2022,1,"\24,000","24,000"
1315,(왕초보) 5개국어 회화  = Five languages Conversation,좋은언어연구회 지음,태을출판사,2022,1,"\11,000","11,000"
1316,역사 속 우리말  = Korean Language in History,최윤곤 지음,하우,2022,1,"\14,000","14,000"
1317,우리가 사랑한 내일들  : 유선애 인터뷰집,유선애 지음,한겨레출판,2021,1,"\16,000","16,000"
1318,(말과 글의 달인이 되는법:) 우리말 어원 사전  : 알면 알수록 빠져드는 '말'들의 히스토리,조항범 지음,태학사,2022,1,"\17,000","17,000"
1319,악몽수집가  = Nightmare collector,엄주 지음,아침달,2021,2,"\16,000","32,000"
1320,회색 여인,엘리자베스 개스켈 지음,휴머니스트 출판그룹,2022,2,"\13,500","27,000"
1321,딸에게 보내는 굿나잇 키스,이어령 지음,열림원,2021,1,"\17,000","17,000"
1322,디어 가브리엘  : 언젠가 혼자 남을 자폐증 아들에게 보내는 아버지의 편지,할프단 프레이호브 지음,문학동네,2020,1,"\14,000","14,000"
1323,겨우 존재하는 아름다운 것들,제님 지음,헤르츠나인,2021,1,"\16,800","16,800"
1324,밤이 오기 전에,마르셀 프루스트 지음,현암사,2022,2,"\16,000","32,000"
1325,비혼이고 아이를 키웁니다  : 결혼도 출산도 아닌 새로운 가족의 탄생,백지선 지음,또다른우주,2022,1,"\15,000","15,000"
1326,좋은 건 다 네 앞에 있어  : 지금 내 앞에 있는 좋은 것을 보게 해주는 혜안의 글,성전 지음,마음의숲,2021,1,"\15,000","15,000"
1327,"봄이다, 살아보자  : 풀꽃 시인 나태주의 작고 소중한 발견들",나태주 지음,한겨레출판,2022,1,"\15,000","15,000"
1328,작은 것들을 위한 시  : BTS 노래산문,나태주 지음,열림원,2022,1,"\17,000","17,000"
1329,뭐든지 가뿐하게 드는 여자,정영진 지음,달,2022,1,"\14,500","14,500"
1330,(마음에 새기는) 명품 명언  = Luxury sayings inscribed on the mind,김옥림 지음,미래북,2013,1,"\13,000","13,000"
1331,서초동 리그,주원규 지음,네오픽션,2022,2,"\13,000","26,000"
1332,"서툴지만, 결국엔 위로  : 다큐 작가 정화영의 사람, 책, 영화 이야기",정화영 지음,좋은습관연구소,2022,1,"\16,000","16,000"
1333,나는 당신이 행복했으면 좋겠습니다,박찬위 지음,하이스트,2021,1,"\13,800","13,800"
1334,메이든스,알렉스 마이클리디스 지음,해냄,2022,2,"\16,800","33,600"
1335,별게 다 영감  : 어느 마케터의 아카이브,이승희 지음,북스톤,2021,1,"\16,000","16,000"
1336,목소리 순례,사이토 하루미치 지음,다다서재,2022,1,"\16,000","16,000"
1337,어쩌면 동화는 어른을 위한 것  : 지친 너에게 권하는 동화 속 명언 320가지,이서희 지음,리텍콘텐츠,2021,1,"\15,500","15,500"
1338,엉망인 채 완전한 축제,술라이커 저우아드 지음,윌북,2022,1,"\17,800","17,800"
1339,조금 긴 여행을 했었어,박재현 지음,미구,2021,1,"\16,500","16,500"
1340,"법정 詩로 태어나다  : 생명을 품은 말씀, 환희의 시로 다시 태어나다",김옥림 지음,미래북스,2021,1,"\14,000","14,000"
1341,"너무 빨리 지나가버린, 너무 늦게 깨달아버린  : 고통의 끝에서 깨달은 인생 불변의 지혜 30 . 1",고든 리빙스턴 지음,걷는나무,2021,1,"\15,000","15,000"
1342,"너무 빨리 지나가버린, 너무 늦게 깨달아버린  : 주어진 날을 후회 없이 살기 위한 인생 불변의 지혜 30 . 2",고든 리빙스턴 지음,걷는나무,2021,1,"\15,000","15,000"
1343,(키케로에서 윌슨까지 세계사를 바꾼 순간들) 광기와 우연의 역사,슈테판 츠바이크 지음,이화북스,2020,1,"\16,500","16,500"
1344,바다의 긴 꽃잎,이사벨 아옌데 지음,민음사,2022,2,"\17,000","34,000"
1345,(슈테판 츠바이크의 대표 소설집) 보이지 않는 소장품,슈테판 츠바이크 지음,이화북스,2022,1,"\16,500","16,500"
1346,갈증,아멜리 노통브 지음,열린책들,2021,2,"\12,800","25,600"
1347,유령 이야기  : 에드거 앨런 포와 기 드 모파상 등 거장들의 고딕 단편집,기 드 모파상 [외] 지음,미메시스,2022,2,"\12,800","25,600"
1348,꿈에도 생각하지 않아,미야베 미유키 지음,문학동네,2022,2,"\15,000","30,000"
1349,풍차 방앗간의 편지,알퐁스 도데 지음,소담출판사,2022,2,"\13,800","27,600"
1350,하루하루가 세상의 종말 . 3  부서진 모래시계,J. L. 본 지음,황금가지,2022,1,"\15,000","15,000"
1351,하자키 목련 빌라의 살인,와카타케 나나미 지음,작가정신,2022,2,"\14,800","29,600"
1352,진달래 고서점의 사체,와카타케 나나미 지음,작가정신,2022,2,"\14,800","29,600"
1353,하루하루가 세상의 종말 . 4  고스트 런,J. L. 본 지음,황금가지,2022,1,"\13,800","13,800"
1354,(속삭이는 살인자) 위스퍼맨,알렉스 노스 지음,흐름출판,2022,2,"\15,800","31,600"
1355,석류의 씨,이디스 워튼 지음,휴머니스트,2022,2,"\13,000","26,000"
1356,팅커스,폴 하딩 지음,문학동네,2022,2,"\14,800","29,600"
1357,여덟 번째 불빛이 붉게 타오르면  : 사르담호 살인 사건,스튜어트 터튼 지음,하빌리스,2022,2,"\18,000","36,000"
1358,와일드 카드 . 1,조지 R.R. 마틴 외 지음,은행나무,2021,1,"\16,000","16,000"
1359,와일드 카드 . 2,조지 R.R. 마틴 외 지음,은행나무,2021,1,"\16,000","16,000"
1360,부활 . 상,레프 똘스또이 지음,열린책들,2010,1,"\9,800","9,800"
1361,부활 . 하,레프 똘스또이 지음,열린책들,2010,1,"\9,800","9,800"
1362,디 에센셜 . 1  조지 오웰,조지 오웰 지음,민음사,2022,1,"\18,000","18,000"
1363,디 에센셜 . 2  버지니아 울프,버지니아 울프 지음,민음사,2022,1,"\17,000","17,000"
1364,디 에센셜 . 3  다자이 오사무,다자이 오사무 지음,민음사,2022,1,"\16,000","16,000"
1365,디 에센셜 . 4  어니스트 헤밍웨이,어니스트 헤밍웨이 지음,민음사,2022,1,"\17,000","17,000"
1366,디 에센셜 . 5  헤르만 헤세,헤르만 헤세 지음,민음사,2022,1,"\17,000","17,000"
1367,디 에센셜 . 6  김수영,김수영 지음,민음사,2022,1,"\17,000","17,000"
1368,살아있는 한국사 교과서 . 2  20세기를 넘어 미래로,전국역사교사모임 지음,휴머니스트,2019,1,"\17,000","17,000"
1369,(42가지 사건으로 보는) 투기의 세계사,토르스텐 데닌 지음,웅진지식하우스,2022,1,"\17,000","17,000"
1370,낭만적 은둔의 역사,데이비드 빈센트 지음,더퀘스트,2022,1,"\17,500","17,500"
1371,(그림으로 남긴 순간들) 네가 다시 제주였으면 좋겠어,김현길 지음,상상출판,2022,1,"\16,500","16,500"
1372,이회영과 젊은 그들  : 아나키스트가 된 조선 명문가,이덕일 지음,위즈덤하우스,2009,1,"\15,000","15,000"
1373,근대 시민의 형성과 대한민국,이승렬 지음,그물,2021,1,"\35,000","35,000"
1374,조선천재열전  : 조선의 르네상스를 꿈꾸며 인문적 세계를 설계한 개혁가들,신정일 지음,파람북,2021,1,"\17,000","17,000"
1375,나폴레옹 세계사,알렉산더 미카베리즈 지음,책과함께,2022,1,"\58,000","58,000"
1376,채사장의 지대넓얕  : 지적 대화를 위한 넓고 얕은 지식 . 1  권력의 탄생,채사장,Dolphin books,2021,1,"\14,000","14,000"
1377,(Usborne 우리 아이 첫) 지식 발견 대백과,매튜 올덤 외 지음,비룡소,2022,1,"\25,000","25,000"
1378,코딩맨 어드벤처  : 히어로 액션 코딩 학습 만화 . 5  코딩족과의 만남,윤상석 지음,다산어린이,2022,1,"\12,800","12,800"
1379,제페토 가이드북  : 나의 부캐 만들기,찬비 지음,대원앤북,2022,1,"\15,000","15,000"
1380,감정에 이름을 붙여봐,이라일라 지음,파스텔하우스,2022,1,"\14,000","14,000"
1381,철학하는 내가 좋다,어린이철학교육연구소 지음,해냄,2021,1,"\13,000","13,000"
1382,생각하는 내가 좋다,어린이철학교육연구소 지음,해냄,2021,1,"\13,000","13,000"
1383,판단하는 내가 좋다,어린이철학교육연구소 지음,해냄,2021,1,"\13,000","13,000"
1384,관찰하는 내가 좋다,어린이철학교육연구소 지음,해냄,2021,1,"\13,000","13,000"
1385,(같은 질문 다른 대답) 생각을 깨우는 철학,샤론 케이 지음,책과함께어린이,2021,1,"\14,000","14,000"
1386,나와 너 그리고 우주,베르나르도 마르콜라 지음,도토리숲,2021,1,"\13,000","13,000"
1387,오늘부터 마음챙김!  : 알쏭달쏭한 내 마음을 알아차리고 돌보는 방법,니콜 카르도자 지음,라이카미,2021,1,"\14,800","14,800"
1388,(어린이를 위한) 내 감정 보살피기  : 자기를 이해하고 표현하는 방법,바네사 그린 앨런 글,청어람아이,2021,1,"\12,000","12,000"
1389,올림포스 신들의 너튜브,이향안 지음,웅진주니어,2022,1,"\12,000","12,000"
1390,올림포스 최강 커플 제우스와 헤라,보린 지음,웅진주니어,2022,1,12000,"12,000"
1391,신들의 재판,김태호 지음,웅진주니어,2022,1,"\12,000","12,000"
1392,최강 슈퍼히어로는 누구?,송아주 지음,웅진주니어,2022,1,"\12,000","12,000"
1393,영웅들과 함께하는 놀라운 도전,김혜정 글,웅진주니어,2022,1,"\12,000","12,000"
1394,그리스 대 트로이,최은영 지음,웅진주니어,2022,1,"\12,000","12,000"
1395,오디세우스의 모험 일지,김영주 지음,웅진주니어,2022,1,"\12,000","12,000"
1396,신화 속 별별 괴물,안미란 글,웅진주니어,2022,1,"\12,000","12,000"
1397,헤르메스와 떠나는 저승 여행,주미경 글,웅진주니어,2022,1,"\12,000","12,000"
1398,올림포스 별의별 사랑,성완 지음,웅진주니어,2022,1,"\12,000","12,000"
1399,출동! 머니 뭐니 클럽,신현수 지음,지학사아르볼,2021,2,"\12,000","24,000"
1400,"엄마, 나도 오늘부터 주식 투자 할래요!",이정주 지음,개암나무,2022,2,"\13,500","27,000"
1401,스마트폰으로 세상을 바꾸는 작은 영웅들,이승주 지음,썬더키즈,2022,1,"\13,000","13,000"
1402,"올림픽, 어디까지 아니?",김윤정 지음,고래가숨쉬는도서관,2022,1,"\12,000","12,000"
1403,초등학생을 위한 개념 경제 150,박효연 지음,바이킹,2022,1,"\13,000","13,000"
1404,알아 두면 세상이 보이는 선거와 정치 30,이정호 지음,푸른날개,2022,1,"\13,000","13,000"
1405,"선생님, 세계 시민이 되려면 어떻게 해야 해요?",정주진 지음,철수와영희,2022,1,"\13,000","13,000"
1406,"소중한 한 표, 누구를 뽑을까?  : 모험을 떠나는 영웅들",마키타 준 지음,키다리,2022,1,"\13,000","13,000"
1407,꼬불꼬불나라의 외교이야기,서해경 지음,풀빛미디어,2022,1,"\13,000","13,000"
1408,어린이 돈 스터디  : 이야기로 배우는 경제 습관,서지원 지음,한솔수북,2022,2,"\13,000","26,000"
1409,"너와 나를 지키는 힘, 동의",오승현 지음,개암나무,2022,1,"\13,500","13,500"
1410,어린이가 안전할 권리,오진원 지음,현북스,2022,1,"\13,000","13,000"
1411,싫다고 말하자!  : 처음 배우는 동의,제니 시몬스 지음,토토북,2022,1,"\12,000","12,000"
1412,읽다 보면 저절로 알게 되는 신비한 습관 사전,이수인 지음,파란정원,2022,1,"\12,000","12,000"
1413,엄마 아빠랑 마음이 통하는 대화법,정재영 지음,크레용하우스,2022,1,"\13,000","13,000"
1414,프로파일러는 어때?,고준채 지음,토크쇼,2022,1,"\13,000","13,000"
1415,지혜로운 주생활  : 편안하고 건강한 삶을 살아요,김미조 지음,다림,2021,1,"\12,000","12,000"
1416,웹툰작가는 어때?,손영완 지음,토크쇼,2022,1,"\13,000","13,000"
1417,어린이를 위한 SDGs  : SDGs가 왜 필요할까?,그루터기 기획,스쿨존에듀,2022,1,"\14,800","14,800"
1418,예의 없는 친구들을 대하는 슬기로운 말하기 사전,김원아 지음,사계절,2022,1,"\13,000","13,000"
1419,우리가 세상을 바꿀 거예요  : 어린이가 세계 시민으로 사는 법,공윤희 지음,창비교육,2022,1,"\12,000","12,000"
1420,동의가 서툰 너에게  : 소녀와 소년을 위한 내 몸과 맘의 주인이 되는 법,유미 스타인스,다산어린이,2021,1,"\14,000","14,000"
1421,소녀x몸 교과서  : 내 몸을 알고 싶은 모든 십 대 여성에게,윤정원,우리학교,2021,1,"\16,000","16,000"
1422,"소녀들을 위한 내 몸 안내서  : 가슴과 배꼽 아래의 변화에서부터, 요동치는 사춘기 내 마음과 친구 관계의 어려움까지",소냐 르네 테일러 지음,휴머니스트,2021,1,"\14,000","14,000"
1423,이게 차별이라고?,고수산나 지음,열다,2022,1,"\13,000","13,000"
1424,아기 돼지 삼 형제가 경제를 알았다면  : 이야기에서 건진 경제,박원배 지음,스푼북,2022,1,"\13,000","13,000"
1425,소중한 지구의 바다  : 바다 숨은 그림 찾기,캐런 브라운 지음,사파리,2021,1,"\13,500","13,500"
1426,Let's Go 열대 우림,티머시 내프먼 지음,보림,2022,1,"\21,000","21,000"
1427,어려도 지구는 우리가 구할 거야!  : 기후 위기에 맞서는 어린이들의 생생 경험담,롤 커비 지음,책읽는곰,2022,1,"\13,000","13,000"
1428,(신나고 바쁘고 소란하게 꿈틀 대는) 놀라운 자연,알렉상드라 가리발 지음,키움,2022,1,"\30,000","30,000"
1429,(지구 어디에나 있는) 바글바글 바이러스,권오준 지음,한솔수북,2022,1,"\14,000","14,000"
1430,유리병 속의 생태계  : 지구 별의 놀라운 작품,레이첼 이그노토프스키 지음,책읽는곰,2022,1,"\22,000","22,000"
1431,생명과 손잡기  : 지구 환경을 지키는 생물 다양성,마틸드 파리 지음,주니어RHK,2022,1,"\14,000","14,000"
1432,(재활용) 내 옷은 플라스틱이야,해리엇 브런들 지음,풀빛,2021,1,"\11,000","11,000"
1433,(재생에너지) 바람으로 전기를 만들어,해리엇 브런들 지음,풀빛,2021,1,"\11,000","11,000"
1434,(서식지 보전) 우리집이 사라진다면,해리엇 브런들 지음,풀빛,2021,1,"\11,000","11,000"
1435,(지속 가능한 생활) 자전거가 지구를 살려요,해리엇 브런들 지음,풀빛,2021,1,"\11,000","11,000"
1436,돌연변이 올챙이의 비밀  : 한국의 '툰베리'들을 위한 미스터리 환경그림책,베로니크 코시 지음,마리앤미,2022,1,"\14,000","14,000"
1437,(웃으며 지구를 지키는) 어린이 에코 시민 가이드,엘리즈 루소 지음,북멘토,2022,1,"\12,000","12,000"
1438,탄소 중립이 뭐예요?,장성익 지음,풀빛,2022,1,"\13,000","13,000"
1439,탄소중립을 위해! 쓰레기를 자원으로,이성엽 지음,쉼,2022,1,"\13,800","13,800"
1440,경이로운 지구 우리가 함께 지켜요,라이사 스튜어트 샤프 지음,놀이터,2022,1,"\13,000","13,000"
1441,마천루 올림픽,연경흠 지음,지성사,2022,1,"\25,000","25,000"
1442,알고 먹는 먹거리 과학,김기명 지음,현북스,2022,1,"\13,000","13,000"
1443,딱 한마디 미술사  : 새로움을 꿈꾼 화가의 말,안소연 지음,천개의바람,2021,1,"\12,000","12,000"
1444,로블록스 최강 게임 백과  : 메타버스 게임 유저와 미래 개발자의 필독서!,캐빈 펫먼 지음,서울문화사,2021,1,"\16,800","16,800"
1445,로블록스 초보자 가이드  : independent and unofficial,캐빈 펫먼 지음,서울문화사,2021,1,"\12,800","12,800"
1446,칼 이야기,최영재 지음,책배출판사,2021,2,"\15,000","30,000"
1447,콩쥐 팥쥐,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1448,장화홍련전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1449,홍길동전 (상),한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1450,홍길동전 (하),한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1451,오성과 한음,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1452,심청전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1453,흥부전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1454,토끼전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1455,옹고집전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1456,춘향전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1457,박씨부인전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1458,임꺽정 (상),한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1459,임꺽정 (하),한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1460,봉이 김 선달,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1461,옥단춘전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1462,의적 일지매,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1463,이춘풍전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1464,허생전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1465,금방울전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1466,인현왕후전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1467,계축일기,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1468,한중록,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
1469,임경업전,한자교연 편집,브레인고,2022,1,"\6,600","6,600"
